0,1,2
ZINST102,SECONDARY RADIATION             ,
BLV459,LETDOWN ISOLATION VALVE(LV459) POSITION,
BFV499,FW BYPASS VLV #3 POS (0-1),
UCOLEG2,COLD-LEG #2 TEMPERATURE,
BFV489,FW BYPASS VLV #2 POS (0-1),
ZINST77,S/G 2 LEVEL(NARROW)        ,
ZINST75,S/G 1 PRESSURE          ,
UAVLEG3,LOOP #3 AVERAGE TEMPERATURE.,
EBOAC,BORIC ACID BATCH,
UHOLEG3,HOT-LEG #3 TEMPERATURE,
UCOLEG3,COLD-LEG #3 TEMPERATURE,
ZAFWTK,AFW STORAGE TANK LEVEL (M),
UAVLEGM,"LOOP 1,2,3 AVERAGE TEMPERATURE(MEAN VALUE).",
BTV418,STEAM DUMP VALVE POS (0-1),
ZINST48,PRT PRESSURE                   ,
KLAMPO119,PRZ SPRAY FLOW AUTO/MANUAL,
KLAMPO118,BACK-UP HEATER ON,
FRQGEN,GENERATOR FREQUENCY (CYCLE/SEC),
PVAC,VACCUM PRESSURE (MM HG),
KBCDO22,GENERATOR OUTPUT MW,
BHV2,60(HV2)  GPM ORIFICE VALVE POSITION,
KLAMPO117,PROP HEATERS MANUAL,
PVCT,VCT PRESSURE.,
KLAMPO28,CONTROL ROD MODE SELECT (AUTO) ,
KBCDO11,INSERTION LIMIT.,
ZINST36,LETDOWN BACK PRESSURE            ,
UAVLEGS,SETPOINT FOR PRIMARY AVERAGE COOLANT TEMPERATURE (DEG. C).,
BHV6,HV6 VALVE POSITION,
ZINST3,SOURCE RANGE NEUTRON LEVEL         ,
KBCDO19,TURBINE SPEED RPM.,
KBCDO6,SHUTDOWN BANK A POSITION.,
ZINST26,CONTAINMENT PRESSURE             ,
KBCDO16,BORON CONCENTRATION.,
BHTBY,HP TURBINE BYPASS VALVE POSITION (0-1),
FSRMDPM,START-UP RATE (DECADES/MIN).,
H2CONC,H2 CONCENTRATION.,
BHV22,SAFETY INJECTION VALVE(HV22) POSITION,
BHV302,COND STOR TK TO AFW SYS VLV POS (0-1).,
KLAMPO29,CONTROL ROD MODE SELECT (MANUAL SEQUENCE) ,
BFV13,CONDENSATE RECIRCULATION VLV POSITION (0-1),
KBCDO8,CONTROL BANK C POSITION.,
ZINST22,CONTAINMENT RADIATION            ,
BHSV,HP TURBINE STOP VALVE POSITION (0-1).,
KLAMPO15,CONTROL BANK D               ,
BLV48,COND TO COND STOR TK LVL CONT VLV (0-1),
KBCDO5,SHUTDOWN BANK B POSITION.,
KBCDO20,LOAD SETPOINT MW.,
KBCDO10,CONTROL BANK A POSITION.,
BTV143,"TV143, LETDOWN TEMP. DEMINERALIZER DEVERT VALVE POSITION",
KLAMPO48,FAN COOLERS(B),
KLAMPO9,REACTOR TRIP,
KLAMPO69,CHARGING PUMP 3,
KBCDO4,SHUTDOWN BANK C POSITION.,
KLAMPO221,GEN BREAKER BREAKER,
KLAMPO241,FWP 1 START/STOP,
KLAMPO234,EXCITER BREAKER,
KLAMPO198,MAKE UP MODE START,
BHV41,EXCESS LETDOWN VALVE(HV41) POSITION,
KLAMPO195,TURBINE TRIP,
KFV610,BORIC ACID INJECTION VALVE (FV610) STATUS,
